age,sex,bmi,children,smoker,region,expenses
53,male,34.1,0,yes,northeast,43254.42
40,male,32.3,2,no,northwest,6986.7
20,male,27.3,0,yes,southwest,16232.85
42,male,26.1,1,yes,southeast,38245.59
26,male,46.5,1,no,southeast,2927.06
19,male,24.6,1,no,southwest,1837.24
27,female,25.2,0,no,northeast,3558.62
18,female,40.3,0,no,northeast,2217.6
64,male,24.7,1,no,northwest,30166.62
39,female,23.3,3,no,northeast,7986.48
55,female,25.4,3,no,northeast,13047.33
48,female,32.2,1,no,southeast,8871.15
30,female,39.1,3,yes,southeast,40932.43
60,female,24.0,0,no,northwest,13012.21
63,female,36.9,0,no,southeast,13887.97
23,male,32.6,0,no,southeast,1824.29
22,male,34.8,3,no,southwest,3443.06
19,female,30.0,0,yes,northwest,33307.55
58,male,34.4,0,no,northwest,11743.93
23,male,24.5,0,no,northeast,2396.1
22,male,28.3,1,no,northwest,2639.04
41,female,31.6,1,no,northeast,7358.18
21,female,34.9,0,no,southeast,2020.55
26,female,17.2,2,yes,northeast,14455.64
42,male,24.6,0,yes,southeast,19515.54
51,male,39.7,1,no,southwest,9391.35
62,male,32.1,0,no,northeast,13555.0
51,female,37.1,3,yes,northeast,46255.11
52,male,41.8,2,yes,southeast,47269.85
20,male,30.1,5,no,northeast,4915.06
44,male,27.4,2,no,southwest,7726.85
49,male,25.8,1,no,northeast,9282.48
37,male,24.3,2,no,northwest,6198.75
63,female,32.2,2,yes,southwest,47305.31
30,female,27.7,0,no,southwest,3554.2
51,male,22.4,0,no,northeast,9361.33
62,female,31.7,0,no,northeast,14043.48
36,female,29.9,0,no,southeast,4889.04
59,male,25.5,0,no,northwest,12124.99
26,male,29.2,1,no,southeast,2902.91
25,female,24.3,3,no,southwest,4391.65
29,male,32.1,2,no,northwest,4433.92
23,female,36.7,2,yes,northeast,38511.63
24,female,27.7,0,no,southeast,2464.62
63,female,27.7,0,yes,northeast,29523.17
55,female,30.1,2,no,southeast,11881.97
46,male,27.6,0,no,southwest,24603.05
40,male,22.7,2,no,northeast,7173.36
33,male,22.7,0,no,northwest,21984.47
29,male,37.3,2,no,southeast,4058.12
18,female,39.2,0,no,southeast,1633.04
40,female,25.5,1,no,northeast,7077.19
49,female,23.2,2,no,northwest,10156.78
